id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1986,PML,2,400,2,0.011587025550698071,-0.28219645750412053,-0.5310155255866166,0.42787852304418533,0.44190416559617557,0.24100622661253623
1987,PML,2,400,2,-0.4291234913284515,-0.20684569763568944,0.45765384467181325,0.4278114525300247,0.4461437432610668,0.04223216084550535
1988,PML,2,400,2,-0.037047492753401745,-0.4018694153652094,0.1336784029949835,0.40971349255281425,0.43603677559979626,0.11754218512943643
1989,PML,2,400,2,-0.6004276216968613,-0.027712775825819436,-0.7973623699423067,0.4254552469279055,0.44978269377609625,0.2880933523470061
1990,PML,2,400,2,-0.14141788735446206,-0.5734360823230894,-0.21418650954737675,0.4276914908745849,0.44375010971325624,0.018984937750536612
1991,PML,2,400,2,-0.4652773411921919,-0.43741132878387934,0.9168348875032629,0.4248636145401552,0.4470666894251768,0.3484187600831454
1992,PML,2,400,2,-1.1957437447403825,-0.5171037229087503,-0.1798773692892469,0.42765925121618503,0.4483911531613566,-0.030837892062944572
1993,PML,2,400,2,-0.12959322442774174,0.3586853027643999,1.295837796363903,0.4258194293643644,0.4429934427440066,-0.16938410147540467
1994,PML,2,400,2,-0.26748133690839215,0.08469617183071987,-0.22340194785017697,0.4083063067866155,0.4490588110365665,0.29304177083079586
1995,PML,2,400,2,-0.44248991695973183,-0.6120473575208494,-0.6339112263312172,0.4148807723474354,0.4502560723846957,0.6496576866242061
1996,PML,2,400,2,-0.6604217510961713,-0.4043171507376403,0.386238277766613,0.4267857448103443,0.45012813649714656,0.2967404911709659
1997,PML,2,400,2,0.12153553786207819,0.33177571676707984,-0.018595143905166672,0.41339322445027443,0.4489177989762366,-0.18612469479159371
1998,PML,2,400,2,0.1526113869042084,0.26296278997846034,0.5795565127490431,0.40372378717100504,0.4492338793416664,0.02675010483418616
1999,PML,2,400,2,-0.6767156341834724,-0.5689801916479997,-0.48977656656689694,0.4278298019627244,0.42966702688366637,0.30364325530875536
2000,PML,2,400,2,-0.5633663211316018,-0.31301462545523934,0.642413517430443,0.4282288512233945,0.44719736067748567,0.3129579025511864
2001,PML,4,400,2,-0.5886999448423219,-0.4860286481097695,-0.03323199309041708,0.42664626855302423,0.4157810741457768,0.36099635282191567
2002,PML,4,400,2,-1.0664336487837114,-0.54145008334118,-0.5331209486288769,0.42523193660172487,0.4484776337154356,0.6251878871980359
2003,PML,4,400,2,0.006086593914438054,-0.6645784456146899,-0.8653015065597167,0.4148235390998442,0.4483763710530761,0.15409103857373652
2004,PML,4,400,2,0.8898160515184682,0.09845603974980022,-0.833544923623477,0.39969936078377427,0.44898590658201676,-0.16114666097309382
2005,PML,4,400,2,-0.33110290570933165,-0.4547010659753603,-0.08494681770674709,0.42719200378054517,0.44160738637979563,0.1032042062613564
2006,PML,4,400,2,-1.0372792909830313,-1.0566429027499005,0.06260626285232301,0.4240687032558352,0.4451448508375269,1.2521837063309762
2007,PML,4,400,2,-0.8258167234106926,-0.9168218138373998,-0.8468548548402066,0.4281262857452145,0.43809946174384606,0.20324673662203557
2008,PML,4,400,2,-0.8711068776336317,-0.015391705352059415,0.39234822790855317,0.42511992829031425,0.420417194739256,-0.07421886080138385
2009,PML,4,400,2,-1.1840745737223324,-0.6298788637683295,0.23070374151402326,0.4235896126765351,0.43077543796210677,0.5004127282343964
2010,PML,4,400,2,0.570422647764858,-0.2772674176982695,-1.316772694426397,0.42097920804140543,0.4313926449400457,0.2145857346473462
2011,PML,4,400,2,0.38628361526962807,0.21932566143477022,-0.7266771231488965,0.4216187223070045,0.4441045887784961,-0.12047952428294456
